Edition,Link,Name,Note
1,https://hackforums.net/showthread.php?tid=423656,HF News Week - 5/09-5/16 [FIRST] [COMMENT],
2,https://hackforums.net/showthread.php?tid=434536,HF News Week (5/16-5/23) [COMMENT],
3,https://hackforums.net/showthread.php?tid=450222,HF News Week 5/23 - 5/30 [THIRD] [COMMENT],
4,https://hackforums.net/showthread.php?tid=464165,HF News - [5/30-6/6] [COMMENT] [FOURTH],
5,https://hackforums.net/showthread.php?tid=476704,[6/6-6/13] HF News [HEADLINE FILLED!] [COMMENT],
6,https://hackforums.net/showthread.php?tid=491136,[6/13 - 6/19] HF News Week! [COMMENT],
7,https://hackforums.net/showthread.php?tid=504802,[6/20-6/26] HF News Week! [COMMENT],
8,https://hackforums.net/showthread.php?tid=521690,HF News [Minor edition] [6/26 - 7/3],Quiet week
8.1,https://hackforums.net/showthread.php?tid=540606,HF News [7/4-7/11] [late] [COMMENT],
9,https://hackforums.net/showthread.php?tid=551162,"HF News [7/10-7/17] [COMMENT] [edition made by Robbieava, thanks]",
10,https://hackforums.net/showthread.php?tid=563975,HF News [7/17-7/24] [COMMENT],
11,https://hackforums.net/showthread.php?tid=585221,[7/25-8/1] HF News,
12,https://hackforums.net/showthread.php?tid=614411,[8/7-8/13] No news this week,Quiet week
12.1,https://hackforums.net/showthread.php?tid=607489,[8/1-8/7] HF News,
12.2,https://hackforums.net/showthread.php?tid=607941,[8/13] HF News - INTERACTIVE TUESDAYS! [huge edition!] [INTERVIEW WITH BACKSLASH!],Interactive Tuesday
13,https://hackforums.net/showthread.php?tid=676131,[13/09/2010] HF News,
14,,,MISSING
15,,,MISSING
16,https://hackforums.net/showthread.php?tid=693130,[9/15/2010] - HF News,
17,https://hackforums.net/showthread.php?tid=706863,[9/22/2010] - HF News,
18,https://hackforums.net/showthread.php?tid=722633,[9/30/2010] - HF News,
19,https://hackforums.net/showthread.php?tid=739652,[10/07/2010] - HF News,
20,https://hackforums.net/showthread.php?tid=759469,[10/15/2010] - HF News,
21,https://hackforums.net/showthread.php?tid=781247,[10/23/2010] - HF News,
21.1,https://hackforums.net/showthread.php?tid=798392,HF News,Delayed due to cancer of loved one
22,https://hackforums.net/showthread.php?tid=799352,[10/31/2010] - HF News,
23,https://hackforums.net/showthread.php?tid=818214,[11/07/2010] - HF News,
24,https://hackforums.net/showthread.php?tid=836025,[11/15/2010] - HF News,
25,https://hackforums.net/showthread.php?tid=856467,[11/22/2010] - HF News,
26,https://hackforums.net/showthread.php?tid=869529,[11/29/2010] - HF News,
27,https://hackforums.net/showthread.php?tid=892359,[12/04/2010] HF News,
28,https://hackforums.net/showthread.php?tid=905087,[12/11/2010] - HF News,
29,https://hackforums.net/showthread.php?tid=923573,[12/18/2010] - HF NEWS - HOLIDAY EDITION,
30,https://hackforums.net/showthread.php?tid=977917,[1/12/2011] - HF News,Move from single contributor to team
31,https://hackforums.net/showthread.php?tid=990058,[1/19/2011] HF News,
31.1,https://hackforums.net/showthread.php?tid=1046837,Im done writing HF news.,Pinterest steps away from writing
32,https://hackforums.net/showthread.php?tid=1012683,HF News 1/28/2011,
33,https://hackforums.net/showthread.php?tid=1049970,[2/10/2011] - HF News,
34,https://hackforums.net/showthread.php?tid=1091816,[2/26/2011] - HF News,
35,https://hackforums.net/showthread.php?tid=1076405,[2/18/2011] - HF News,
36,https://hackforums.net/showthread.php?tid=1123680,[3/12/2011] - HF News,
36.1,https://hackforums.net/showthread.php?tid=1125383,[3/18/11] - HF News,
37,https://hackforums.net/showthread.php?tid=1211542,[4/13/2011] - HF News,
38,https://hackforums.net/showthread.php?tid=1229543,[4/20/2011] - HF News,
39,https://hackforums.net/showthread.php?tid=1249554,[4/27/2011] - HF News,
40,https://hackforums.net/showthread.php?tid=1270133,[5/4/2011] - HF News,
41,https://hackforums.net/showthread.php?tid=1283213,[5/11/2011] - HF News,
42,https://hackforums.net/showthread.php?tid=1305409,[5/18/2011] - HF News,
43,https://hackforums.net/showthread.php?tid=1321532,[5/25/2011] - HF News,
44,https://hackforums.net/showthread.php?tid=1342426,[6/1/2011] - HF News,
45,https://hackforums.net/showthread.php?tid=1363454,[6/8/2011] - HF News,
46,https://hackforums.net/showthread.php?tid=1389389,[6/16/2011] - HF News,
47,https://hackforums.net/showthread.php?tid=1407730,[6/22/2011] - HF News,
48,https://hackforums.net/showthread.php?tid=1430574,[6/29/2011] - HF News,
49,https://hackforums.net/showthread.php?tid=1456450,[7/6/2011] - HF News,
50,https://hackforums.net/showthread.php?tid=1482375,[7/14/2011] - HF News,
51,https://hackforums.net/showthread.php?tid=1506097,[7/20/2011] - HF News,
52,https://hackforums.net/showthread.php?tid=1535517,[7/28/2011] - HF News,
53,https://hackforums.net/showthread.php?tid=1566535,[8/5/2011] - HF News,
54,https://hackforums.net/showthread.php?tid=1598186,[8/13/11] - HF News,
55,https://hackforums.net/showthread.php?tid=1626749,[8/19/11] - HF News,Battle between Sir & Xerotic/Judge Dredd for Writers ownership (https://hackforums.net/showthread.php?tid=1660053)
